lambda = 0.25, R^2 = 0.9955188477701767
lambda = 0.5, R^2 = 0.9955188477701767
lambda = 0.75, R^2 = 0.995518847770177
lambda = 1.0, R^2 = 0.9955188477701767
lambda = 1.25, R^2 = 0.9955188477701763
lambda = 1.5, R^2 = 0.995518847770177
lambda = 1.75, R^2 = 0.995518847770177
lambda = 2.0, R^2 = 0.9955188477701767
lambda = 2.25, R^2 = 0.9955188477701767
lambda = 2.5, R^2 = 0.9955188477701763
lambda = 2.75, R^2 = 0.9955188477701774
lambda = 3.0, R^2 = 0.995518847770177
lambda = 3.25, R^2 = 0.995518847770177
lambda = 3.5, R^2 = 0.995518847770177
lambda = 3.75, R^2 = 0.9955188477701754
lambda = 4.0, R^2 = 0.9955188477701767
lambda = 4.25, R^2 = 0.9955188477701774
lambda = 4.5, R^2 = 0.9955188477701767
lambda = 4.75, R^2 = 0.995518847770177
lambda = 5.0, R^2 = 0.9955188477701763
lambda = 5.25, R^2 = 0.9955188477701761
lambda = 5.5, R^2 = 0.9955188477701774
lambda = 5.75, R^2 = 0.9955188477701767
lambda = 6.0, R^2 = 0.995518847770177
lambda = 6.25, R^2 = 0.995518847770177
lambda = 6.5, R^2 = 0.995518847770177
lambda = 6.75, R^2 = 0.995518847770177
lambda = 7.0, R^2 = 0.995518847770177
lambda = 7.25, R^2 = 0.9955188477701767
lambda = 7.5, R^2 = 0.9955188477701754
lambda = 7.75, R^2 = 0.9955188477701779
lambda = 8.0, R^2 = 0.9955188477701767
lambda = 8.25, R^2 = 0.9955188477701759
lambda = 8.5, R^2 = 0.9955188477701774
lambda = 8.75, R^2 = 0.9955188477701765
lambda = 9.0, R^2 = 0.9955188477701767
lambda = 9.25, R^2 = 0.9955188477701774
lambda = 9.5, R^2 = 0.995518847770177
lambda = 9.75, R^2 = 0.995518847770177
lambda = 10.0, R^2 = 0.9955188477701763
lambda = 10.25, R^2 = 0.9955188477701774
lambda = 10.5, R^2 = 0.9955188477701761
lambda = 10.75, R^2 = 0.9955188477701763
lambda = 11.0, R^2 = 0.9955188477701774
lambda = 11.25, R^2 = 0.9955188477701765
lambda = 11.5, R^2 = 0.9955188477701767
lambda = 11.75, R^2 = 0.9955188477701763
lambda = 12.0, R^2 = 0.995518847770177
lambda = 12.25, R^2 = 0.9955188477701767
lambda = 12.5, R^2 = 0.995518847770177
lambda = 12.75, R^2 = 0.9955188477701765
lambda = 13.0, R^2 = 0.995518847770177
lambda = 13.25, R^2 = 0.9955188477701767
lambda = 13.5, R^2 = 0.995518847770177
lambda = 13.75, R^2 = 0.9955188477701763
lambda = 14.0, R^2 = 0.995518847770177
lambda = 14.25, R^2 = 0.9955188477701774
lambda = 14.5, R^2 = 0.9955188477701767
lambda = 14.75, R^2 = 0.9955188477701774
lambda = 15.0, R^2 = 0.9955188477701754
lambda = 15.25, R^2 = 0.9955188477701765
lambda = 15.5, R^2 = 0.9955188477701779
lambda = 15.75, R^2 = 0.995518847770177
lambda = 16.0, R^2 = 0.9955188477701767
lambda = 16.25, R^2 = 0.9955188477701765
lambda = 16.5, R^2 = 0.9955188477701759
lambda = 16.75, R^2 = 0.9955188477701767
lambda = 17.0, R^2 = 0.9955188477701774
lambda = 17.25, R^2 = 0.9955188477701759
lambda = 17.5, R^2 = 0.9955188477701765
lambda = 17.75, R^2 = 0.9955188477701772
lambda = 18.0, R^2 = 0.9955188477701767
lambda = 18.25, R^2 = 0.995518847770177
lambda = 18.5, R^2 = 0.9955188477701774
lambda = 18.75, R^2 = 0.9955188477701761
lambda = 19.0, R^2 = 0.995518847770177
lambda = 19.25, R^2 = 0.9955188477701772
lambda = 19.5, R^2 = 0.995518847770177
lambda = 19.75, R^2 = 0.995518847770177
lambda = 20.0, R^2 = 0.9955188477701763
lambda = 20.25, R^2 = 0.9955188477701767
lambda = 20.5, R^2 = 0.9955188477701774
lambda = 20.75, R^2 = 0.9955188477701761
lambda = 21.0, R^2 = 0.9955188477701761
lambda = 21.25, R^2 = 0.995518847770177
lambda = 21.5, R^2 = 0.9955188477701763
lambda = 21.75, R^2 = 0.9955188477701759
lambda = 22.0, R^2 = 0.9955188477701774
lambda = 22.25, R^2 = 0.9955188477701763
lambda = 22.5, R^2 = 0.9955188477701765
lambda = 22.75, R^2 = 0.9955188477701772
lambda = 23.0, R^2 = 0.9955188477701767
lambda = 23.25, R^2 = 0.9955188477701767
lambda = 23.5, R^2 = 0.9955188477701763
lambda = 23.75, R^2 = 0.9955188477701761
lambda = 24.0, R^2 = 0.995518847770177
lambda = 24.25, R^2 = 0.9955188477701772
lambda = 24.5, R^2 = 0.9955188477701767
lambda = 24.75, R^2 = 0.995518847770177
